"doc_id","date","media","title","text","url"
"1","12/26/2024","Asahi","日中外相会談　対話重ねて懸案解決を","まずは対話を増やしていこう――。この流れが日本と中国の双方にできつつあることを歓迎する。

　岩屋毅外相がきのう北京を訪れ、中国の王毅（ワンイー）外相らと会談した。日本の外相の訪中は１年８カ月ぶりだ。最近の日中の首脳・外相の会談は国際会議の際に短時間行われ、相手国への単独訪問でじっくり話し合う機会はなかった。その間、様々な問題が積み上がったまま現在に至っている。

　福島第一原発の処理水放出を受けた中国の日本産水産物禁輸は、安全が確認されれば段階的に緩和することで合意されているものの、その後の動きは鈍い。今回の会談では合意の実施を改めて確認したという。引き続き中国側の取り組みを促す必要がある。

　岩屋外相は、来日する中国人観光客の査証（ビザ）発給要件を緩和する方針を表明した。中国政府がコロナ禍で停止していた日本人向け査証免除措置を１１月末に再開したのを受けた対応だ。

　日本の「言論ＮＰＯ」などが実施した日中の世論調査で、双方の約９割が相手国の印象を良くないと回答するなど、日中間は国民感情でも冷え込んでいる。相互理解を進める上でも人的交流の促進は欠かせない。

　日本人の中国への出張や観光旅行がしやすくなるのは喜ばしい。しかし、反スパイ法による企業関係者の摘発や、いまだに真相が不明な日本人学校に関連した殺傷事件が、多くの日本人に二の足を踏ませているのも事実だ。中国側は日本社会の不安の解消に努めねばならない。

　東シナ海周辺では日中の軍事的緊張が続き、岩屋外相が懸念を伝えたのは当然だ。

　８月に中国軍機が長崎県沖の領空を侵犯。中国側は「意図的ではなかった」と釈明したが、中国軍艦船による領海や接続水域への侵入は続いている。沖縄県・尖閣諸島周辺では中国公船の領海侵入が相次ぎ、中国軍は沖縄に近接する台湾への威圧も強める。

　まず求められるのが不測の衝突を防ぐ意思疎通だ。首脳や閣僚のレベルで対話が必要なのはもちろん、自衛隊と中国軍が定期的に会合や交流の機会を持ち、互いの意図を読み誤らない仕組みを作っておくことが欠かせない。

　北朝鮮がロシアに接近し、その後ろ盾を得て核・ミサイル開発を進めている。日本への脅威であるだけでなく、中国にとっても懸念材料だ。日中が安全保障上の一致点を見いだし協力することは、北東アジア地域の安定に役立つ。その意味でも対話の継続による関係強化に期待する。

","https://www.asahi.com/articles/DA3S16114436.html?iref=pc_ss_date_article"
"2","12/24/2024","Asahi","ウクライナ　長期的な支援に備えを","米国のトランプ次期大統領が来月の就任を前に、ロシアとウクライナの戦闘の「即時停戦」を主張している。

　悲惨な戦争の早期終結を望むが、停戦をめぐる両国の立場の隔たりは大きい。国際社会はロシアの違法な侵略が長引く可能性をふまえ、息の長いウクライナ支援策を組み立てる必要がある。

　ロシアのプーチン大統領は先週の大型記者会見で、ウクライナの東部と南部の４州からの同国軍の全面撤退が、停戦交渉を始める前提だとする立場を改めて表明した。

　トランプ氏が求める即時停戦は、ウクライナ領土の約２割を不法に占領する現状の固定化を意味するが、それでは不十分という主張だ。

　プーチン氏は「必要なのは停戦ではなく平和だ」とも述べた。停戦中にウクライナ軍が態勢を立て直すことは許されないという、あきれた言い分だ。２０１４年にウクライナ東部に軍事介入後、翌年に合意された停戦を踏みにじって、一昨年に全面戦争を始めたのはプーチン氏自身だったことを思い起こしたい。

　一方、ウクライナのゼレンスキー大統領は最近、占領された領地すべてを実力で奪還するのは困難なことを認めつつ、戦闘中止には自国が統治する地域が北大西洋条約機構（ＮＡＴＯ）の傘下に置かれる必要があると述べた。

　ロシアからのさらなる侵略は力で阻止するしかないとの主張は理解できる。だが、ＮＡＴＯの関与や多国籍軍による停戦監視をプーチン氏が容認する可能性は低い。

　どこに停戦ラインを引くか。どう守らせるのか。停戦合意の基本となる２点で埋めがたい溝が残っている。

　プーチン氏が強気に出る背景には、ロシア軍がじわじわと占領地を広げている現下の戦況がある。先週の記者会見では「我々は他の意見を気にすることなく、国益に沿った決定を下す」と述べた。

　トランプ氏から圧力を受けても、ロシアは核戦力をちらつかせつつ戦争を続ける可能性が、現時点では高い。

　懸念されるのは、自分の主張が受け入れられないと悟ったトランプ氏が、ウクライナ支援から手を引く事態だ。隣国侵略を既成事実化させないよう、欧州だけでなく日本や韓国なども協力してトランプ氏に支援継続を働きかけ、長期的にウクライナを支える態勢を築く必要がある。

　ロシアに直接、戦闘停止の働きかけを強めることも重要だ。中国、インド、トルコなど、ロシアに影響力を持つ国々を巻き込んだ努力がいっそう求められる。","https://www.asahi.com/articles/DA3S16112855.html?iref=pc_ss_date_article"
"3","12/12/2024","Asahi","ノーベル平和賞　核なき世界　つなぐ力に","「みなさんがいつ被害者になってもおかしくないし、加害者になるかもしれない」

　遠くで起きた昔のできごとではない。核の惨禍は、まさにいま、人類が直面する危機だと日本の被爆者が訴えるメッセージは力強かった。世界中の市民が「自分ごと」と受け止め、核廃絶に向けて政治を動かすよう望む。

　広島・長崎の被爆者らでつくる日本原水爆被害者団体協議会（日本被団協）に、ノルウェーのオスロで、ノーベル平和賞が授与された。

　広島と長崎で原爆が約２１万人の命を奪って、７９年。私たちは再び核兵器が使われかねない脅威の中にいる。

　ウクライナやガザでの戦争が続き、大国は平和への責任を放棄したかのようだ。ロシアのプーチン大統領は核兵器を脅しに使い、核使用の基準を緩和する大統領令に署名した。米国では１期目で核の役割拡大に前向きだったトランプ氏が再び大統領に就く。

　被団協の代表委員で自らも長崎で被爆した田中熙巳（てるみ）さん（９２）が、授賞式の演説で「『核のタブー』が壊されようとしていることに、限りないくやしさと憤りを覚えます」と発した声に、国際社会は真摯（しんし）に耳を傾けるべきだ。

　被団協は１９５６年に結成。日本政府には補償を求め、「私たちの体験をとおして人類の危機を救おう」と、被爆者一人ひとりが過酷な記憶に向き合いながら内外で核の非人道性を語ってきた。

　国連本部で「ノーモア・ヒバクシャ」と呼びかけた山口仙二さん、赤くただれた背中の写真を掲げて被爆の実相を訴えた谷口稜曄（すみてる）さん、オバマ米大統領に「一緒に頑張る」と伝えた坪井直（すなお）さん。

　以来、核兵器が戦争で使われずにきたのも、核兵器禁止条約が２０１７年に誕生したのも、核廃絶を見届けることなく世を去った多くの先人を含む被爆者たちの努力の結実にほかなるまい。

　一方で、核廃絶は今も実現の道が見いだせない。自国の安全を大国の核兵器による「抑止力」に頼る国の列には日本も加わる。石破首相は核禁条約締約国会議へのオブザーバー参加にも慎重姿勢を崩さない。唯一の戦争被爆国の首相として、核廃絶への責任を担う意思はうかがえない。

　被爆者の平均年齢が８５歳を超え、体験や運動をどう継承していくかも課題だ。

　今回、核廃絶活動に取り組む高校生平和大使の４人もオスロを訪れ、現地の高校生と交流した。「核兵器は人類と共存できない」。この訴えを世界に広げるバトンを次世代に託す契機としたい。","https://www.asahi.com/articles/DA3S16104086.html?iref=pc_ss_date_article"
"4","12/10/2024","Asahi","シリア政権崩壊　武器を置き和解の道を","独裁者はあっけなく国を去った。１４年近い内戦と過酷な圧政の傷を癒やし、平和で安定した国を再建できるのか。国民の和解努力と国際社会の支援が試される。

　中東のシリアで反体制派が首都ダマスカスを制圧し、政権が崩壊した。アサド大統領はロシアに亡命した。

　反体制派が政権打倒を掲げて進軍してわずか１１日。首都陥落時に目立った抵抗はなかった。政府軍兵士の間でアサド大統領への忠誠心がいかに薄かったかを物語る。

　２０１１年に全土に広がった非暴力の反政府デモをアサド政権は武力で弾圧した。反体制派も武力で対抗し、内戦になった。アサド氏はロシアやイランなどの軍事支援に頼った。化学兵器で大勢の市民を殺傷したとも疑われる。

　そのロシアはウクライナ戦争の長期化で、イランやその影響下にあるイスラム教シーア派組織ヒズボラはイスラエルとの戦闘で消耗した。

　シリアはアラブとクルドといった民族、イスラム教、キリスト教などの多数の宗派が混在し、利害も複雑にからみあう。反体制派も一枚岩ではない。政権崩壊を主導した「シャーム解放委員会」は、国際テロ組織「アルカイダ」の流れをくみ、国連や米国がテロ組織に指定していることも気がかりだ。

　国民にとっては、アサド氏の父の代から半世紀以上にわたる一族支配から解放され民主国家を築く好機だ。そのためには武器を置き、対話で対立を克服するほかない。報復に訴えてはならない。

　内戦による市民の犠牲は３０万人を超え、人口のほぼ半分の約１２００万人が家を追われた。うち５００万人は国外で難民となっている。

　シリアの将来はシリア国民が決めるのが大原則だ。とはいえ、内戦で疲弊した国の立て直しや人道状況の改善、難民帰還などを独力で解決するのは不可能だ。再び混乱に陥れば、弱体化している過激派組織「イスラム国」が息を吹き返す恐れもある。

　国際社会は国民和解を後押しする必要がある。１５年には、暫定政権の樹立から新憲法の起草、国連監視下での選挙まで和平への道筋を描いた国連安保理決議が全会一致で採択されている。

　アサド政権の後ろ盾だったロシアやイラン、反体制派を支援してきたトルコや米国など内戦に関与した国々は、和平を着実に前進させるために協調する責務がある。隣国イスラエルは地域の緊張を高める挑発行動を控えることが求められる。日本も復興支援などで貢献する道を探りたい。","https://www.asahi.com/articles/DA3S16102541.html?iref=pc_ss_date_article"
"5","12/4/2024","Asahi","プラごみ条約　実効性ある削減策探れ","「年内に条約を」という約束は果たされなかった。

　プラスチックごみ汚染に対処する条約を作る政府間交渉会合が、物別れに終わった。深刻化するプラごみ対策は急務である。２０２２年の国連環境総会で法的拘束力のある条約を今年末までに作ることで合意し、交渉を重ねてきただけに、先送りは残念だ。

　今後、再開会合で実効性ある条約ができるよう、日本も世界も努めねばならない。

　韓国で開かれた会合では、プラスチック生産の規制、特定のプラ製品や化学物質の規制、資金支援のあり方についての合意が困難だとされた。

　欧州連合やアフリカ諸国、島嶼（とうしょ）国などが生産量の削減目標の設定を提案。対してプラ原料の石油を輸出する中東諸国やロシアなどが生産規制の条約からの削除を要求した。特定のプラ素材や製品に加える化学物質の規制も、意見が対立。資金支援は、先進国と途上国が折り合わなかった。

　日本は、１人あたりのプラ容器包装の廃棄量が米国に次ぐ２位であり、同時に海洋汚染に悩まされる国でもある。１９年に大阪で開かれたＧ２０サミットで「５０年までに新たな海洋汚染をなくす」目標に合意、昨年のＧ７では４０年に前倒しした。国際的な議論を主導することが期待される立場だ。合意に向けた提案で存在感を発揮してもらいたい。

　日本は一律の生産規制ではなく各国の事情に合わせて取り組むべきだとの姿勢で、製造から廃棄・リサイクルまで全体での対策を主張する。

　いま、産業や生活を支えるプラスチックがあふれている。それだけに、生産規制の面で踏み込まずに自然界に排出されるプラごみを減らすのは難しいのではないか。プラスチックの使い捨てで利便性を享受する生活や社会のありようも問われている。

　プラスチックには、加工や劣化防止のため化学物質が加えられ、生物に有害なものもある。５ミリ以下のマイクロプラスチックの影響も心配だ。

　経済協力開発機構（ＯＥＣＤ）によると、生産量は２０年間で２倍に増えて２０２０年は約４億３５００万トンに上り、さらに増加が見込まれる。生態系被害、観光や漁業などへの影響が顕在化。このままでは海洋のプラスチックの総重量は５０年に魚の量よりも多くなるとの試算もある。

　プラごみを減らすのは将来に対する人類共通の責任だ。条約ができても運用までには時間がかかる。次の会合で、汚染を減らしていける方向性を明確にした実効性ある条約づくりに向け、合意点を粘り強く探らなければならない。","https://www.asahi.com/articles/DA3S16098696.html?iref=pc_ss_date_article"
"6","12/2/2024","Asahi","タリバンと世界　女性抑圧を見過ごすな","女性への抑圧を見て見ぬふりをして、なし崩しに関係を強めることは許されない。

　先月アゼルバイジャンで開かれた国連気候変動会議（ＣＯＰ２９）に、アフガニスタンのイスラム主義勢力タリバン暫定政権の代表団がオブザーバーとして出席した。タリバンの参加は初めてだ。

　アフガニスタンは内陸の山岳地帯に位置し、気候変動の影響を受けやすい。干ばつに悩まされてきたが、今年５月には豪雨による洪水で３００人以上が死亡した。長年の戦乱でインフラ整備が遅れた最貧国であり、人口の半分が人道支援を必要とする。国際会議の席で、その実情に目を向けることには意味がある。

　ただ、タリバンが２１年８月に首都カブールを武力制圧して復権して以来、女性の人権を否定する政策を進めてきたことを忘れてはならない。

　女性の教育は小学校まで。就労も制限され、国連機関や国際ＮＧＯで働くことは禁じられた。公園や遊園地に入ることも許されない。外出時には全身と顔を覆うことが求められ、遠出には男性近親者の同伴が義務づけられる。

　虐げられるのは女性だけではない。公開処刑など恐怖政治が横行する。タリバン暫定政権を正式な政府として承認した国はないが、気がかりなのが関係強化に前のめりな中国とロシアの動きだ。

　中国は今年１月、習近平（シーチンピン）国家主席が暫定政権の大使から信任状を受け取ったと発表した。昨年９月には中国大使がアフガニスタンに着任している。正式に承認したかどうかは明らかにしていないが、踏み込んだ対応だ。中国はかねてアフガニスタンの豊富な鉱物資源の開発に関心があるとみられてきた。

　ロシア高官は先週、タリバンにテロ組織の指定を解除する方針を伝えた。３月にモスクワ郊外で起きたテロで過激派組織「イスラム国」（ＩＳ）が犯行を主張した。このためアフガニスタンで活動するＩＳ対策でタリバンとの協力を模索しているようだ。

　もちろん、抑圧的な体制とその支配を受ける国民は区別して考えねばならない。アフガニスタンには、タリバンのほかに統治能力のある政治勢力がない。女性の人権改善を求める原則はゆるがせに出来ないが、タリバンの存在を無視して国際社会の支援を国民に届けることは難しい。

　対話の窓は閉ざさず、女性を排除したままでは疲弊した国家の立て直しは不可能であることを、粘り強く説得していく必要がある。そのためにも国際社会は一枚岩で臨むことが求められる。","https://www.asahi.com/articles/DA3S16096894.html?iref=pc_ss_date_article"
"7","11/29/2024","Asahi","エネルギー計画　原発依存度低減　堅持を","政府の第７次エネルギー基本計画をめぐる議論が、大詰めを迎えている。脱炭素社会の実現に向け、省エネと再生可能エネルギーの拡大を最優先すると同時に、東京電力福島第一原発の惨事から学んだ「原発依存度の低減」の姿勢を堅持すべきだ。

　現行の第６次計画は２０２１年に決定し、３０年の電源構成を示した。今回は４０年の電源構成などを盛り込む見通しだ。年内に素案を示す。

　経済産業省は、これまでの審議会での議論で「将来の電力需要が増加する可能性が高い」という見通しと、「再エネと原子力の拡大がともに必要」という方向性が「共通認識になった」と整理している。岸田政権が２２年に打ち出した原発の「最大限活用」方針を、新しい計画に盛り込みたい思惑がうかがえる。

　だが、原発を過渡的に利用するにしても、主力電源化を目指す再エネと同等に拡大するのは非現実的だ。再エネ投資に水を差しかねない。

　審議会は原発推進派が大多数を占め、原発事故後の第４～６次計画で掲げてきた「原発依存度を可能な限り低減する」という方針の削除を求める声が相次ぐ。経団連や電気事業連合会も同様の主張だ。国民民主党は首相に「新増設の明記」を要請した。

　しかし、この方針の原点を忘れるわけにはいかない。１４年の第４次計画は、こう宣言している。「震災前に描いてきたエネルギー戦略は白紙から見直し、原発依存度を可能な限り低減する。ここが、エネルギー政策を再構築するための出発点であることは言をまたない」

　安定供給の面で原発は重要な電源としながらも、過酷な事故がもたらした悲惨な事態を防げなかったという「深い反省」を踏まえ、熟議を経て築かれた文言だ。

　原発の抱える根本的な難点は、当時から何ら変わっていない。福島の廃炉も「核のごみ」も解決にはほど遠く、ロシアのウクライナ侵略は原発が軍事標的になるリスクを顕在化させた。能登半島地震は複合災害時の避難の難しさを突きつける。

　一方、かつて利点とされた経済性は、安全対策費の上昇で揺らいでいる。そもそも原発の電源比率を３０年に２０～２２％にする現行目標でさえ達成が困難なことも、直視すべきだろう。

　太陽光や風力発電は世界的に急増している。日本も地域との共生を前提に、最大の電源にしていく努力が必要だ。今回の計画でこそ、積年の遅れを取り戻す道筋を描かなくてはならない。","https://www.asahi.com/articles/DA3S16095059.html?iref=pc_ss_date_article"
"8","11/21/2024","Asahi","ロシアの核政策　侵略継続を狙う脅しだ","戦争の抑止を口実に保有している核兵器を、自ら進める侵略戦争を邪魔させないための脅しに使う。そんなロシアの無法ぶりが、改めて浮き彫りになった。

　プーチン大統領が、核兵器の使用についての基準を緩和する大統領令に署名した。

　４年ぶりに改定された文書「核抑止の国家政策の基本」は、核保有国の支援を受けた非核保有国からの攻撃を「共同攻撃」と見なすと明記。巡航ミサイルや無人機（ドローン）などがロシア領内へ大量に発射されたと判断される場合も核使用が可能だとした。

　従来の基準では「国家の存立が危機に直面したとき」としていた核の先制使用検討の条件も、「主権や領土の一体性が深刻に脅かされたとき」と書き換えられた。

　欧米の支援を受けるウクライナが８月に踏み切ったロシア南部クルスク州への越境攻撃が、核使用の理由になり得るとも読める内容だ。

　ロシアは越境攻撃の開始前から、基準改定への作業を進めていた。だが、米国がウクライナに提供した長距離ミサイルによるロシア国内への攻撃を承認したと報じられた直後のこの時期に、プーチン氏は大統領令に署名した。欧米のウクライナ支援を牽制（けんせい）する狙いがあるのだろう。

　プーチン氏は一昨年に全面侵攻を開始した日から、核をちらつかせて欧米に介入しないよう警告。その後も、欧米からの支援が強化されるのに合わせて、隣国ベラルーシへの核配備を発表するなど、核兵器を脅しに使ってきた。

　だが、今回の新基準はロシアがただちに核を使う条件を示したわけではない。過剰反応はロシアの思うつぼだ。

　とはいえロシアが核使用のハードルを下げているのは紛れもない事実だ。中国をはじめ、ロシアの暴挙を事実上黙認してきた国々は、事態を軽視せず、真剣に警告を発するべきだ。

　ロシアを含む国連安全保障理事会の常任理事国５カ国だけに核保有を認めている現在の国際秩序は、この５カ国が主権平等の原則を尊重し、武力による威嚇や行使を慎むという、国連憲章の理念の実現に取り組む誠実な意思があることが前提になっている。

　ところが、核が国連憲章に反する侵略の道具にされているのが現実だ。

　今年のノーベル平和賞を日本被団協に授与すると決めたノルウェーの委員会は「核のタブー」が弱まっていることへの危機感を表明した。核廃絶が人類にとって避けて通れない差し迫った課題だということを、再確認したい。","https://www.asahi.com/articles/DA3S16088744.html?iref=pc_ss_date_article"
"9","11/13/2024","Asahi","気候変動会議　世界の結束に力尽くせ","国連気候変動枠組み条約締約国会議（ＣＯＰ２９）が始まった。ロシアのウクライナ侵略や中東の戦乱で国際協調が揺らぎ、米国では地球温暖化に背を向けるトランプ氏が大統領に選ばれた。だが、気候変動は人類共通の危機だ。世界は結束して立ち向かわなければならない。

　温室効果ガス削減に向けた合意であるパリ協定の採択から、来年で１０年になる。利害対立を抱えつつも、気候変動を抑え、被害に対応するための枠組みになってきた。

　３年前のグラスゴー合意では、平均気温を産業革命前に比べ１・５度上昇に抑えることや、石炭火力発電の段階的削減を決めた。翌年には温暖化による「損失と被害」を支援する基金の創設、前回は、化石燃料からの脱却や３０年までの再生可能エネルギー３倍化などに合意した。

　しかし、現実は厳しい。

　国連の気候変動に関する政府間パネル（ＩＰＣＣ）の昨年の報告書は、気温上昇はすでに１・１度に達したと指摘し、「この１０年間の対策が数千年先まで影響する」と強く警告した。１・５度にとどめるには２５年までに温室ガスの排出量を減少に転じさせ、３５年には１９年比で６０％減らす必要があるという。

　アゼルバイジャンで開いた今回の会議では、途上国の対策のための資金調達が最大の焦点だ。各国の次の削減目標提出に向けた動きや、化石燃料、再エネ、原子力など各エネルギー源についての議論も注視する必要がある。

　気候変動は様々な自然災害や水・食料の不足、感染症の流行を引き起こし、人類をおびやかす。だが、脱炭素化による短期的な経済や生活への影響もあり、既得権も絡んで先送りする政策が続く。

　米国は温室ガス排出が中国の次に多いが、トランプ氏は温暖化問題に懐疑的で、前回の任期中にパリ協定から離脱した。今回の選挙中も化石燃料を「掘って掘って掘りまくれ」と主張し、バイデン政権で復帰したパリ協定からの再離脱や、途上国への資金供給への悪影響も懸念される。

　欧州連合の気象情報機関は、今年の平均気温は目標の１・５度を超えるとの見通しを示した。単年の値とはいえ状況は極めて切迫している。ここで手を緩めては、現在と未来の犠牲がますます増えることが、避けられない。

　再エネへの転換は世界的な選択でもあり、そこから外れれば、技術力や競争力での遅れにもつながりうる。目先の利害にだけとらわれた行動をとれば未来を危うくすることを、日本も再確認すべきだ。

","https://www.asahi.com/articles/DA3S16082189.html?iref=pc_ss_date_article"
"10","11/7/2024","Asahi","トランプ氏当選確実　自国第一の拡散に歯止めを","世界は極度の混沌（こんとん）の時代へ突入しそうだ。自国第一を掲げる米国の外交が何をもたらすのか、全く見通せない。日本を含む各国は、国際社会の流動化に備え、従来の発想を超えた平和的な多国間秩序の構想を急がねばならない。

　米大統領選挙は、共和党のドナルド・トランプ前大統領（７８）が当選を確実にした。民主党のカマラ・ハリス副大統領（６０）との激戦を制した。

　■民主的統治の危機

　トランプ氏は２０１６年の初当選以来、２回目の勝利となる。４年ぶりの政権復帰を決定づけた推進力は、経済の再生と不法移民対策を求める国民の期待だった。

　近年のインフレによる生活苦はハリス氏を含む現政権への大きな逆風となった。産業構造の変化から取り残された白人労働者層らの格差への怒りは、今回もトランプ氏支持の強固な基盤となった。

　ハリス氏は中間層への支援と女性の権利を中心に訴えたが、及ばなかった。男性優位社会の米国に残る「ガラスの天井」を破る初の女性大統領の誕生は、実現しなかった。

　トランプ氏は格差や移民をめぐる憎悪をあおり、政敵を排除する訴えを続けた。今回の結果は、そうした分断政治の威力を見せつけた。移民国家が誇りとしてきた寛容な多元主義は変質しつつある。

　論戦では虚偽や陰謀論が広がった。トランプ氏に対する銃撃など、暴力にたのむ動きも増えた。民主党陣営は民主主義の危機を訴えたが、米政治の劣化は著しい。

　米国発の大衆扇動型の政治が世界中に蔓延（まんえん）するなか、米国自身は是正策を見いだせていない。グローバル化が雇用を奪い、移民を増やすとする漠とした不満は欧州など他地域でも勢いを増している。

　米国内の亀裂は深い。トランプ氏は「全国民の大統領になる」との党大会での誓いを忘れてはならない。選挙での過激な言動と一線を画し、国民の融和を考えるべきだ。

　トランプ氏は政府要職を支持派で固めるという。共和党を「トランプ党」と呼び、司法や通貨政策にも影響力を振るう構えだ。大統領権限の肥大化は、三権分立に基づく民主的統治への挑戦となろう。

　■危うい「力への信奉」

　第１次トランプ政権では、一部の高官が大統領の暴走を抑制した。次期政権の高官も大統領にただ追従せず、政権運営が憲法に照らして正当か熟慮してほしい。議会上院も共和党が多数派を握るが、立法府も司法も大統領府を監視する重責を果たすべきだ。

　米国が気候変動対策の国際枠組みから脱退し、主要７カ国首脳会議の首脳宣言も認めない――。前回のトランプ政権では、そんな混乱が相次いだ。次期政権下でも米外交は視界不良となろう。

　自由や民主主義の価値観や同盟よりも、短期的な取引を重んじるのがトランプ流だ。「敵対国にも同盟国にも圧力をかける」としており、対米同盟に頼ってきた日韓や欧州などに試練となる。

　ロシアのウクライナ侵略を「賢い行動だ」と評し、中東ではイスラエルに敵対するイランへの圧力を強める。トランプ氏の姿勢に一貫しているのは、力への信奉であり、核戦力を含む軍拡の正当化にほかならない。

　トランプ氏が公約に掲げた全輸入品への一律最大２０％の関税強化には、欧州も報復する構えだ。国際通貨基金は世界経済の急減速を警告するが、米国は自由貿易体制に今後も背を向けるだろう。

　軍備でも通商でも、危うい大競争の到来が懸念される。国際社会は１９世紀型の列強割拠に戻るのか、それとも新たな共存の秩序を見いだせるのか。その分岐点にある。

　いま世界に求められるのは、自国第一主義の拡散に対する歯止めである。米国をはじめ国の大小を問わず、単独で安定した繁栄を続けることはできない。それは、中国やロシアも同様だ。

　■「法の支配」へ連携を

　いまも抜きんでた力をもつ自由主義大国・米国に代わりうる国はない。しかし、米国の内政の混迷と外交での内向き志向は長期化しそうだ。

　日韓、西欧、豪州、カナダは、米国との二国間関係に頼る従来の比重を見直し、相互連携を深めて安定役を務めることが必要となるだろう。

　バイデン政権で制度化された日米豪印の「クアッド」や日米韓比など、各種の対話の枠組みを今後も生かせるかどうかは、米国以外の国の主体的な努力にかかっている。

　国連の改革も急がねばならない。米中ロの安保理常任理事国がそろって自国第一に傾くなか、「力の支配」ではなく、「法の支配」を強めるのは喫緊の課題だ。それには国際司法や貿易ルールなどを推進する国際機構の強化が欠かせない。

　日本は、あらゆる多国間枠組みと二国間協議を駆使して紛争を防ぐ秩序づくりを主導するべきだ。孤立思考から脱し、地球規模の課題に協調して対処することこそが、米国と世界の利益につながる。トランプ次期政権に対し、そう説得する必要がある。","https://www.asahi.com/articles/DA3S16078035.html?iref=pc_ss_date_article"
